apartment_id,md5,name,description,host_id,neighborhood_overview,neighbourhood_name,neighbourhood_district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,is_instant_bookable,reviews_per_month,country,city,insert_date
36187629,66fff4225feb2ddf104ea38f76e4bff1,Piso reformado excelente ubicacion,"Apartamento reformado hace dos meses en el Cabañal zona tranquila. Cocina totalmente equipada habitaciones muy luminosas con Colchones, almohadas y ropa de cama nuevos. Una de las habitaciones de matrimonio consta de aire acondicionado y una terraza. Posee dos baños completos y salón con televisión. Excelente ubicación a 10 minutos de la playa y cerca de las parada de metro tranvia tren y parada de autobús justo bajo de casa. Supermercado a 1 min andando",261787331,,BETERO,POBLATS MARITIMS,3.947.149,-3.346,Entire home/apt,4,2,3,3,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Elevator,Washer,Essentials,Hangers,""Laptop friendly workspace"",""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",90.0,5,20,TRUE,0,4,34,34,1,2019-08-19,2019-08-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,TRUE,0.22,spain,valencia,2019-12-31
5388904,48790b4dd865e98cc1f5302a2bba1a50,Nice Room in a Penthouse,"The apartment is fully equipped. Large bathroom, washing machine, large LCD TV, induction hob, large balcony, lots of light and quiet. Your room is approximately 12qm² large with a 90cm bed (new). Work table and WIFI is also available.<br /><br /><b>The space</b><br />Great location, nice atmosphere, nice balcony<br /><br /><b>Guest access</b><br />Everywhere but my own room :-)",20843074,,la Nova Esquerra de l'Eixample,Eixample,4.138.353,215.388,Private room,1,1,1,1,"[""Wifi"", ""Kitchen"", ""Heating"", ""TV"", ""Essentials"", ""Air conditioning"", ""Washer"", ""Elevator"", ""Long term stays allowed"", ""Shampoo""]",100.0,1,1125,TRUE,0,0,0,0,1,2015-03-06,2015-03-06,80.0,8.0,8.0,8.0,10.0,10.0,10.0,,FALSE,0.01,spain,barcelona,2021-01-12
39982406,d3a60e8898bd8ddce4325c8d3d6af7c8,LUXURY 5 BEDROOM APARTMENT IN MONCLOA-ARAVACA,"Luxury Apartment located in a priveleged zone in ""La Florida ""with 24h security. Disconnect from the city centre and enjoy nature. Comfortable rooms for yourself or for families. Come for a business trip or to explore the fabulous entertainment options Madrid has to offer! World famous museums, historical buildings, wonderful culinary options from delicious tapas to top chefs restaurants. Just 7 mins drive away from downtown. Ideal location next to Corporate offices, schools, colleges, shopping. Shared Private Pool, Free Wi-Fi & cable internet, working space & smart TV with international channels included. Laundry service available at an extra charge. Cleaning service available at an extra charge. Guests will be able to access the pool, garden and BBQ area within the premises. A knowledgeable staff member is available 24/7. Very quiet residential area in a Posh area of Madrid with 24-hour manned security guard surveillance. The zone is full of Hi-End Chalets-Villas  surrounded by Embas",308267305,"Very quiet residential area in a Posh area of Madrid with 24-hour manned security guard surveillance. The zone is full of Hi-End Chalets-Villas  surrounded by Embassies, Corporate Headquarters, International Schools and Best Restaurants of Madrid.",El Plantío,Moncloa - Aravaca,4.046.614,-380.948,Entire home/apt,10,3,5,8,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Elevator,""Free street parking"",Heating,Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Stair gates"",""Children’s books and toys"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Handheld shower head"",""Shower gel"",""Barbecue utensils"",""Trash can""}",220.0,1,30,TRUE,30,60,90,365,0,,,,,,,,,,VT-12318,TRUE,,spain,madrid,2020-01-10
19344018,e2f33bae8c814924e8ce7e6efa8e7245,Habitación zona Atocha,"Pareja joven alquila habitación para semana del orgullo gay. Buena ubicación a 5 min de la estación de Atocha. En la habitación hay una cama individual con opción a colchón de matrimonio. Derecho a usar baño, cocina y se proporcionará entre otras cosas sábanas y toallas, También hay wifi en la casa. En el piso hay tres perros sociables.",135531703,,Palos de Moguer,Arganzuela,4.040.507.011.669.010,-3.693.182.634.598.120,Private room,2,1,1,2,"{TV,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,""Laptop friendly workspace"",""Host greets you""}",200.0,1,10,TRUE,0,0,0,0,0,,,,,,,,,,,TRUE,,spain,madrid,2019-01-14
17218380,11295740bea58c9ae080a459cc8094c5,Spacious villa for rent with private pool,"This large holiday home is located in a quiet area of L'Escala, and at the same time just 11 minutes walking from Riells beach. This large holiday home is located in a quiet area of L'Escala and at the same time just 11 minutes walking from Riells beach and the magnificent promenade overlooking the whole bay and the Pyrenees. The area offers a wide variety of restaurants, cafes and bars, many shops, ice cream shops and children's amusement park, supermarket, etc. Riells beach is very wide, with fine sand and very shallow, ideal for children! In a few words - here is everything to spend great vacations! The house is divided into two floors. On the ground floor there are three double bedrooms, two bathrooms, separate kitchen, a large living room with access to a covered terrace with direct view to the pool. From the terrace you can access the barbecue area and the pool. With separate entrance from the semi-basement are two rooms each with its bathroom and a hall with a Ping-Pong table. I",8345284,"L'Escala has a strategic location - everything is close. Girona, Roses, Cadaques - only 40-45 min; Figueres and Empuriabrava - 20min; Begur and Palamos - 30 min; Pals and Playa de Aro - 40 -50 min; Banyoles, Olot - 40 min - 1 hour. Overall, L'Escala is perfect for exploring the Costa Brava. L´Escala offers various activities and areas which can be enjoyed with children.  The beaches of L´Escala are characterised by their fine sand and shallow waters, which means that they are ideal for children.  Also is a paradise for children, with children´s parks, go-karts and horse trip, as well as bicycle hire. What´s more, L´Escala offers a wide range of sports and adventure-based activities - discover new sensations!!  Bicing in l´Escala is more than a simply renting bikes service. L'Escala Cycling is a public transport service. It is practical, sustainable and easy to use.  Tour and enjoy the l'Escala region free from air and noise pollution. A walk along El Camí Forestal between l´Escala and ",L'Escala,,4.210.782.265.163.360,3.141.601.421.913.330,Entire home/apt,10,4,5,8,"{TV,Wifi,Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Hangers,""Hair dryer"",Iron,Bathtub,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",Oven,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Host greets you""}",143.0,1,1125,TRUE,27,43,56,56,5,2017-05-28,2018-08-11,84.0,9.0,8.0,8.0,9.0,8.0,8.0,HUTG-020958,TRUE,0.29,spain,girona,2018-10-20
30808704,8a04ff34abb53d484d162962a1b4b6f3,Habitación en Madrid! <<Wifi>>Perfecto para 2!!!,"Habitación con todo lo que necesitas para tu comodidad! Con transporte cercano y de fácil acceso, con muchos comercios cercanos y la paz que necesitas en tu viaje!<br /><br /><b>The space</b><br />Favor leer toda la información antes de hacer tu reserva!<br /><br />Habitación privada con todo lo necesario en su interior, si necesitas usar otras áreas del piso puedes hacer la consulta, Estamos disponibles para ayudar en lo que necesites!<br /><br />El salón no está disponible para compartir. <br />La cocina puede ser usada para servirte un desayuno ligero, o sentarte a la mesa a comer por la mañana (en reservas de larga duración se establece un horario de uso).<br />Aunque, si tienes alguna petición especial de horarios u otro aspecto, siempre estoy disponible para responder a tus dudas!<br />Siempre estamos alegres de recibir personas de todas partes! hemos hecho grandes amigos a través de nuestras experiencias con la plataforma, sin embargo, sabemos respetar la intimidad del huésped, ",115839544,"Barrio de Antaño en Madrid, lleno de bares y lugares para satisfacer tus necesidades (supermercados, salones de belleza, parques, gimnasios, escuelas, transporte público, entre otros)",Vista Alegre,Carabanchel,4.038.349,-374.807,Private room,2,1,1,1,"[""Free parking on premises"", ""Room-darkening shades"", ""Lock on bedroom door"", ""TV"", ""Private entrance"", ""First aid kit"", ""Wifi"", ""Host greets you"", ""Iron"", ""Hangers"", ""Stove"", ""Heating"", ""Long term stays allowed"", ""Shower gel"", ""Cleaning before checkout"", ""Single level home"", ""Coffee maker"", ""Outlet covers"", ""Extra pillows and blankets"", ""Free street parking"", ""Microwave"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Window guards"", ""Oven"", ""Cooking basics"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Hot water"", ""Shampoo""]",31.0,3,30,TRUE,30,60,90,271,33,2019-01-19,2020-02-22,95.0,10.0,9.0,10.0,10.0,9.0,9.0,,TRUE,1.53,spain,madrid,2020-10-17
23409834,97a4b8d518a299aa5e6502f49cada7c4,HABITACIÓN EN BARRIO DE SALAMANCA,"Se alquila habitación en piso de 150m2. Habitación grande con armarios empotrados. Hay 3 habitaciones en la casa, 2 baños, cocina equipada, salón grande y terraza grande.  Se alquila SOLO a chicas, por días/temporadas.",14670186,,Lista,Salamanca,4.043.442,-367.562,Private room,1,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Elevator,Heating,Washer,Essentials,Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Host greets you""}",40.0,2,30,TRUE,3,31,61,336,11,2018-04-13,2019-05-05,80.0,9.0,7.0,10.0,10.0,10.0,8.0,,TRUE,0.83,spain,madrid,2019-05-14
1254955,911569ccd37ad14402df998bf3172228,Madrid Central flat - Reina Sofía," Central flat and bright on the verge of the great museums (Museo Reina Sofía, Thyssen and Prado) and other attractions like the Teatro Circo Price, the House On and the Caixa Forum.  It has a bedroom with double bed, a living room with a sofa bed, a bathroom and a fully equipped kitchen. It also has a large dining table. Wifi wireless and television. Ideal for 2 people.  Central district with many terraces to eat, supermarkets and connections (metro, bus) to other areas of central Madrid. A 5 minute walk from Atocha and Lavapies and 10 minutes from Retiro Park. ",6730063,,Palos de Moguer,Arganzuela,4.040.373,-369.503,Entire home/apt,4,1,2,2,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens""}",65.0,5,1125,TRUE,1,1,1,258,46,2013-09-06,2019-02-25,91.0,10.0,9.0,10.0,10.0,10.0,9.0,VT-4159,FALSE,0.63,spain,madrid,2019-09-19
39921958,08e8de7e04a236756df3d754d3e9000b,Casa  con encanto a 5min de las mejores playas,"Nuestro alojamiento es una casa de pueblo totalmente reformada situada a 300m del casco antiguo. Al lado hay farmacias, supermercados y aparcamiento gratuito.  A tan solo 5 min de las mejores playas de la Costa Brava: Calella, Llafranch y Tamariu. A 10min de Begur y sus calas, Sa Tuna, Sa Riera, Aiguablava, Fornells... Como autóctonos de la zona os podemos ofrecer muchas actividades para hacer y recomendaros los mejores restaurantes de la zona. La casa tiene 3 plantas perfecta para 2 familias Es una casa muy cómoda y cerca de todo. Al lado hay muchos caminos verdes y al otro lado está el centro del pueblo. La situación es única. Zona muy tranquila pero cerca de todo. La casa cuenta con aire acondicionado en las habitaciones de arriba. En la parte de abajo no hace falta ya que al ser paredes de piedra está muy bien aislada del calor. Hay dos suites con vestidor y baño. Las otras dos habitaciones cuentan con su baño al lado. Los inquilinos podrán contactar con nosotros a traves de (Hidde",226800816,Es un barrio muy tranquilo a tan solo 5min del centro.,Palafrugell,,4.191.682,316.875,Entire home/apt,8,4,4,5,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,Essentials,Hangers,""Laptop-friendly workspace"",""Private entrance"",""Hot water""}",111.0,4,1125,TRUE,28,58,88,117,0,,,,,,,,,,HUTG-051194,TRUE,,spain,girona,2020-05-28
9485319,be0b3348a54c4dd9dca13df446621f98,Apartamento luminoso,"Apartamento coqueto de 49m2, consta de un salon comedor con cocina Americana totalmente equipada, un baño y un cuarto con cama de matrimonio. Es un tercer y último piso sin ascensor bien aislado. El apartamento tiene a pie de calle metro y autobuses. Está situado cerca de una calle muy comercial: tiendas, farmacias y el famoso ""Mercado Maravillas""; a 15 minutos andando del Corte Inglés de la Castellana y del estadio de futbol Santiago Bernabeu.",49163400,,Cuatro Caminos,Tetuán,40.452.958.542.041.600,-3.701.970.768.287.100,Entire home/apt,2,1,1,1,"{TV,""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Essentials,Hangers,Iron}",55.0,2,,TRUE,0,17,47,322,65,2015-11-23,2017-10-31,96.0,10.0,10.0,10.0,10.0,9.0,10.0,,FALSE,2.48,spain,madrid,2018-01-17
