ciudad,distrito,room_id,fecha_entrada,titulo,precio,viajeros,dormitorios,camas,baños,nota,reseñas,url
Barcelona,Les-Corts,13571420,2026-06-01,Apartamento en Barcelona,120.0,4.0,1.0,1.0,1.0,4.66,760.0,https://www.airbnb.es/rooms/13571420
Barcelona,Les-Corts,1414473753453618431,2026-06-01,Habitación de hotel compartida en Barcelona,96.0,,,4.0,,4.96,295.0,https://www.airbnb.es/rooms/1414473753453618431
Barcelona,Les-Corts,5256656,2026-06-01,Apartamento en Barcelona,190.0,6.0,2.0,3.0,1.0,4.66,700.0,https://www.airbnb.es/rooms/5256656
Barcelona,Les-Corts,1135216684465108261,2026-06-01,Apartamento en Barcelona,317.0,5.0,2.0,4.0,2.0,4.89,91.0,https://www.airbnb.es/rooms/1135216684465108261
Barcelona,Les-Corts,1681696951293486968,2026-06-01,Alojamiento en Barcelona,119.0,2.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1681696951293486968
Barcelona,Les-Corts,20030829,2026-06-01,Habitación en L'Hospitalet de Llobregat,46.0,,,1.0,,4.78,697.0,https://www.airbnb.es/rooms/20030829
Barcelona,Les-Corts,1623845411548133787,2026-06-01,Tres Torres Atiram Hotels,162.0,,,,,4.69,477.0,https://www.airbnb.es/rooms/1623845411548133787
Barcelona,Les-Corts,1629047930699126683,2026-06-01,Hotel Ronda Lesseps,165.0,,,,,4.78,596.0,https://www.airbnb.es/rooms/1629047930699126683
Barcelona,Les-Corts,1644128350843386600,2026-06-01,Sercotel Porta Barcelona,117.0,,,,,4.63,48.0,https://www.airbnb.es/rooms/1644128350843386600
Barcelona,Les-Corts,1600016322754075561,2026-06-01,chic&basic Velvet,156.0,,,,,5.0,3.0,https://www.airbnb.es/rooms/1600016322754075561
Barcelona,Les-Corts,1633928135410732873,2026-06-01,Sercotel Cornellà Barcelona,126.0,,,,,4.57,30.0,https://www.airbnb.es/rooms/1633928135410732873
Barcelona,Les-Corts,1644127533941365878,2026-06-01,Sercotel Sant Boi,112.0,,,,,4.58,65.0,https://www.airbnb.es/rooms/1644127533941365878
Barcelona,Les-Corts,1486820500847214284,2026-06-01,chic&basic Tallers Hostal,152.0,,,,,4.38,56.0,https://www.airbnb.es/rooms/1486820500847214284
Barcelona,Les-Corts,1627488784530128890,2026-06-01,Arenas Atiram Hotel,220.0,,,,,4.77,288.0,https://www.airbnb.es/rooms/1627488784530128890
Barcelona,Les-Corts,1395546731678953844,2026-06-01,chic&basic Born Boutique Hotel,164.0,,,,,4.58,111.0,https://www.airbnb.es/rooms/1395546731678953844
Barcelona,Les-Corts,1644124202990432706,2026-06-01,Sercotel Barcelona El Prat,161.0,,,,,4.71,41.0,https://www.airbnb.es/rooms/1644124202990432706
Barcelona,Les-Corts,52219850,2026-06-01,Habitación en L'Hospitalet de Llobregat,88.0,,,2.0,,4.89,193.0,https://www.airbnb.es/rooms/52219850
Barcelona,Les-Corts,22094381,2026-06-01,Apartamento en Barcelona,160.0,5.0,2.0,3.0,1.0,4.59,263.0,https://www.airbnb.es/rooms/22094381
Barcelona,Les-Corts,18580775,2026-06-01,Apartamento en Barcelona,269.0,7.0,3.0,5.0,2.0,4.68,187.0,https://www.airbnb.es/rooms/18580775
Barcelona,Les-Corts,585383336483878796,2026-06-01,Hotel en Barcelona,120.0,1.0,1.0,1.0,1.0,4.68,115.0,https://www.airbnb.es/rooms/585383336483878796
Barcelona,Les-Corts,1259116019707310328,2026-06-01,Apartamento en Barcelona,270.0,9.0,5.0,8.0,2.0,4.81,146.0,https://www.airbnb.es/rooms/1259116019707310328
Barcelona,Les-Corts,842389,2026-06-01,Apartamento en Barcelona,251.0,7.0,4.0,7.0,1.0,4.58,333.0,https://www.airbnb.es/rooms/842389
Barcelona,Les-Corts,1625561930981954879,2026-06-01,Alojamiento en L'Hospitalet de Llobregat,70.0,1.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1625561930981954879
Barcelona,Les-Corts,1680675123505072019,2026-06-01,Alojamiento en Barcelona,92.0,2.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1680675123505072019
Barcelona,Les-Corts,17220286,2026-06-01,Apartamento en L'Hospitalet de Llobregat,150.0,2.0,1.0,2.0,1.0,4.6,272.0,https://www.airbnb.es/rooms/17220286
Barcelona,Les-Corts,1425279784893662580,2026-06-01,Apartamento en Barcelona,180.0,2.0,1.0,3.0,0.0,4.66,87.0,https://www.airbnb.es/rooms/1425279784893662580
Barcelona,Les-Corts,1321567328957236283,2026-06-01,Habitación de hotel compartida en L'Hospitalet de Llobregat,36.0,,,1.0,,4.46,394.0,https://www.airbnb.es/rooms/1321567328957236283
Barcelona,Les-Corts,1689843380550258164,2026-06-01,Alojamiento en Barcelona,108.0,2.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1689843380550258164
Barcelona,Les-Corts,1690721429631322509,2026-06-01,Alojamiento en Barcelona,104.0,2.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1690721429631322509
Barcelona,Les-Corts,5248745,2026-06-01,Apartamento en Barcelona,150.0,4.0,1.0,1.0,1.0,4.75,549.0,https://www.airbnb.es/rooms/5248745
Barcelona,Les-Corts,1381830149578594250,2026-06-01,Habitación compartida en Barcelona,44.0,,,,,4.72,612.0,https://www.airbnb.es/rooms/1381830149578594250
Barcelona,Les-Corts,1690527090152157222,2026-06-01,Alojamiento en Barcelona,134.0,2.0,1.0,1.0,1.0,,,https://www.airbnb.es/rooms/1690527090152157222
