apartment_id,md5,name,description,host_id,neighborhood_overview,neighbourhood_name,neighbourhood_district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,is_instant_bookable,reviews_per_month,country,city,insert_date
36187629,66fff4225feb2ddf104ea38f76e4bff1,Piso reformado excelente ubicacion,"Apartamento reformado hace dos meses en el Cabañal zona tranquila. Cocina totalmente equipada habitaciones muy luminosas con Colchones, almohadas y ropa de cama nuevos. Una de las habitaciones de matrimonio consta de aire acondicionado y una terraza. Posee dos baños completos y salón con televisión. Excelente ubicación a 10 minutos de la playa y cerca de las parada de metro tranvia tren y parada de autobús justo bajo de casa. Supermercado a 1 min andando",261787331,,BETERO,POBLATS MARITIMS,3.947.149,-3.346,Entire home/apt,4,2.0,3.0,3.0,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Elevator,Washer,Essentials,Hangers,""Laptop friendly workspace"",""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",90.0,5,20.0,True,1.0,0.9333333333333333,0.6222222222222222,0.9068493150684931,1,2019-08-19,2019-08-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,True,0.22,spain,valencia,2019-12-31
5388904,48790b4dd865e98cc1f5302a2bba1a50,Nice Room in a Penthouse,"The apartment is fully equipped. Large bathroom, washing machine, large LCD TV, induction hob, large balcony, lots of light and quiet. Your room is approximately 12qm² large with a 90cm bed (new). Work table and WIFI is also available.<br /><br /><b>The space</b><br />Great location, nice atmosphere, nice balcony<br /><br /><b>Guest access</b><br />Everywhere but my own room :-)",20843074,,la Nova Esquerra de l'Eixample,Eixample,4.138.353,215.388,Private room,1,1.0,1.0,1.0,"[""Wifi"", ""Kitchen"", ""Heating"", ""TV"", ""Essentials"", ""Air conditioning"", ""Washer"", ""Elevator"", ""Long term stays allowed"", ""Shampoo""]",100.0,1,1125.0,True,1.0,1.0,1.0,1.0,1,2015-03-06,2015-03-06,80.0,8.0,8.0,8.0,10.0,10.0,10.0,,False,0.01,spain,barcelona,2021-01-12
39982406,d3a60e8898bd8ddce4325c8d3d6af7c8,LUXURY 5 BEDROOM APARTMENT IN MONCLOA-ARAVACA,"Luxury Apartment located in a priveleged zone in ""La Florida ""with 24h security. Disconnect from the city centre and enjoy nature. Comfortable rooms for yourself or for families. Come for a business trip or to explore the fabulous entertainment options Madrid has to offer! World famous museums, historical buildings, wonderful culinary options from delicious tapas to top chefs restaurants. Just 7 mins drive away from downtown. Ideal location next to Corporate offices, schools, colleges, shopping. Shared Private Pool, Free Wi-Fi & cable internet, working space & smart TV with international channels included. Laundry service available at an extra charge. Cleaning service available at an extra charge. Guests will be able to access the pool, garden and BBQ area within the premises. A knowledgeable staff member is available 24/7. Very quiet residential area in a Posh area of Madrid with 24-hour manned security guard surveillance. The zone is full of Hi-End Chalets-Villas  surrounded by Embas",308267305,"Very quiet residential area in a Posh area of Madrid with 24-hour manned security guard surveillance. The zone is full of Hi-End Chalets-Villas  surrounded by Embassies, Corporate Headquarters, International Schools and Best Restaurants of Madrid.",El Plantío,Moncloa - Aravaca,4.046.614,-380.948,Entire home/apt,10,3.0,5.0,8.0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Elevator,""Free street parking"",Heating,Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Stair gates"",""Children’s books and toys"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Handheld shower head"",""Shower gel"",""Barbecue utensils"",""Trash can""}",220.0,1,30.0,True,0.0,0.0,0.0,0.0,0,,,,,,,,,,VT-12318,True,,spain,madrid,2020-01-10
19344018,e2f33bae8c814924e8ce7e6efa8e7245,Habitación zona Atocha,"Pareja joven alquila habitación para semana del orgullo gay. Buena ubicación a 5 min de la estación de Atocha. En la habitación hay una cama individual con opción a colchón de matrimonio. Derecho a usar baño, cocina y se proporcionará entre otras cosas sábanas y toallas, También hay wifi en la casa. En el piso hay tres perros sociables.",135531703,,Palos de Moguer,Arganzuela,4.040.507.011.669.010,-3.693.182.634.598.120,Private room,2,1.0,1.0,2.0,"{TV,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,""Laptop friendly workspace"",""Host greets you""}",200.0,1,10.0,True,1.0,1.0,1.0,1.0,0,,,,,,,,,,,True,,spain,madrid,2019-01-14
30808704,8a04ff34abb53d484d162962a1b4b6f3,Habitación en Madrid! <<Wifi>>Perfecto para 2!!!,"Habitación con todo lo que necesitas para tu comodidad! Con transporte cercano y de fácil acceso, con muchos comercios cercanos y la paz que necesitas en tu viaje!<br /><br /><b>The space</b><br />Favor leer toda la información antes de hacer tu reserva!<br /><br />Habitación privada con todo lo necesario en su interior, si necesitas usar otras áreas del piso puedes hacer la consulta, Estamos disponibles para ayudar en lo que necesites!<br /><br />El salón no está disponible para compartir. <br />La cocina puede ser usada para servirte un desayuno ligero, o sentarte a la mesa a comer por la mañana (en reservas de larga duración se establece un horario de uso).<br />Aunque, si tienes alguna petición especial de horarios u otro aspecto, siempre estoy disponible para responder a tus dudas!<br />Siempre estamos alegres de recibir personas de todas partes! hemos hecho grandes amigos a través de nuestras experiencias con la plataforma, sin embargo, sabemos respetar la intimidad del huésped, ",115839544,"Barrio de Antaño en Madrid, lleno de bares y lugares para satisfacer tus necesidades (supermercados, salones de belleza, parques, gimnasios, escuelas, transporte público, entre otros)",Vista Alegre,Carabanchel,4.038.349,-374.807,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Room-darkening shades"", ""Lock on bedroom door"", ""TV"", ""Private entrance"", ""First aid kit"", ""Wifi"", ""Host greets you"", ""Iron"", ""Hangers"", ""Stove"", ""Heating"", ""Long term stays allowed"", ""Shower gel"", ""Cleaning before checkout"", ""Single level home"", ""Coffee maker"", ""Outlet covers"", ""Extra pillows and blankets"", ""Free street parking"", ""Microwave"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Window guards"", ""Oven"", ""Cooking basics"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Hot water"", ""Shampoo""]",31.0,3,30.0,True,0.0,0.0,0.0,0.2575342465753425,33,2019-01-19,2020-02-22,95.0,10.0,9.0,10.0,10.0,9.0,9.0,,True,1.53,spain,madrid,2020-10-17
23409834,97a4b8d518a299aa5e6502f49cada7c4,HABITACIÓN EN BARRIO DE SALAMANCA,"Se alquila habitación en piso de 150m2. Habitación grande con armarios empotrados. Hay 3 habitaciones en la casa, 2 baños, cocina equipada, salón grande y terraza grande.  Se alquila SOLO a chicas, por días/temporadas.",14670186,,Lista,Salamanca,4.043.442,-367.562,Private room,1,1.0,1.0,1.0,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Elevator,Heating,Washer,Essentials,Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Host greets you""}",40.0,2,30.0,True,0.9,0.4833333333333333,0.3222222222222222,0.07945205479452055,11,2018-04-13,2019-05-05,80.0,9.0,7.0,10.0,10.0,10.0,8.0,,True,0.83,spain,madrid,2019-05-14
1254955,911569ccd37ad14402df998bf3172228,Madrid Central flat - Reina Sofía," Central flat and bright on the verge of the great museums (Museo Reina Sofía, Thyssen and Prado) and other attractions like the Teatro Circo Price, the House On and the Caixa Forum.  It has a bedroom with double bed, a living room with a sofa bed, a bathroom and a fully equipped kitchen. It also has a large dining table. Wifi wireless and television. Ideal for 2 people.  Central district with many terraces to eat, supermarkets and connections (metro, bus) to other areas of central Madrid. A 5 minute walk from Atocha and Lavapies and 10 minutes from Retiro Park. ",6730063,,Palos de Moguer,Arganzuela,4.040.373,-369.503,Entire home/apt,4,1.0,2.0,2.0,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens""}",65.0,5,1125.0,True,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.29315068493150687,46,2013-09-06,2019-02-25,91.0,10.0,9.0,10.0,10.0,10.0,9.0,VT-4159,False,0.63,spain,madrid,2019-09-19
9485319,be0b3348a54c4dd9dca13df446621f98,Apartamento luminoso,"Apartamento coqueto de 49m2, consta de un salon comedor con cocina Americana totalmente equipada, un baño y un cuarto con cama de matrimonio. Es un tercer y último piso sin ascensor bien aislado. El apartamento tiene a pie de calle metro y autobuses. Está situado cerca de una calle muy comercial: tiendas, farmacias y el famoso ""Mercado Maravillas""; a 15 minutos andando del Corte Inglés de la Castellana y del estadio de futbol Santiago Bernabeu.",49163400,,Cuatro Caminos,Tetuán,40.452.958.542.041.600,-3.701.970.768.287.100,Entire home/apt,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Essentials,Hangers,Iron}",55.0,2,,True,1.0,0.7166666666666667,0.47777777777777775,0.11780821917808215,65,2015-11-23,2017-10-31,96.0,10.0,10.0,10.0,10.0,9.0,10.0,,False,2.48,spain,madrid,2018-01-17
18750489,9ffec0db9fdb8199bcf1363befa7800c,Can Gran Via,"Luminous room with double bed, and large closet in large and pleasant flat, a little old but very clean and tidy, located in one of the most central areas of Barcelona 3 minutes to the Plaza España metro station, close to the Montjuic Fountain and the Venetian Towers. Only 15 to 45 minutes from the airport, depending on transportation. We are two friends of 31 and 38, among our hobbies are music, gaming and chatting relaxed, ready to welcome you to share our flat so you can enjoy the city.",3745058,,el Poble Sec,Sants-Montjuïc,41.373.732.937.770.700,2.147.654.785.807.490,Private room,2,2.0,1.0,1.0,"{""Wireless Internet"",Kitchen,""Smoking allowed"",Elevator,Washer,Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Host greets you""}",35.0,6,30.0,True,1.0,1.0,1.0,1.0,1,2017-08-22,2017-08-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,True,0.36,spain,barcelona,2017-11-13
26274545,4d422a4e3a42159c8536930b9eb97938,"Flat bonito, nuevo y tranquilo CENTRO","Apartamento 4 pax ,3 habitaciones  ,totalmente equipado, muy luminoso-exterior, wifi, estupenda localización en el centro pero en  barrio tranquilo ymuy silencioso. Ventiladores en el techo en todas las habitaciones. Balcón y galería .Muy bien comunicado en transporte público,a 3 minutos andando del tranvia que lleva directamente a la playa, a 5/10 min andando del casco antiguo(cultural y artístico), Barrio Carmen, IVAM, cerca de los Jardines del Turia y Viveros. Supermercados y centro comercial",37406182,,LES TENDETES,CAMPANAR,3.948.535,-38.751,Entire home/apt,4,1.0,3.0,3.0,"{Wifi,Kitchen,Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",42.0,4,1125.0,True,0.7333333333333334,0.4833333333333333,0.4666666666666667,0.6931506849315068,11,2018-07-15,2019-03-18,91.0,10.0,9.0,10.0,10.0,9.0,10.0,,False,1.27,spain,valencia,2019-03-31
